Date,construction,consumer products,energy,finance,healthcare,industrial,plantation,property,REIT,tech,telco,transport,utilities
2012-09-07,1.2881,2.0604,,1.902,,1.4981,1.8602,0.8521,,1.0755,,,
2012-09-10,1.2755,2.0459,,1.9009,,1.478,1.8526,0.8443,,1.054,,,
2012-09-11,1.262,2.0272,,1.8855,,1.4767,1.8507,0.8382,,1.0584,,,
2012-09-12,1.2657,2.023,,1.8942,,1.4783,1.8416,0.8373,,1.0526,,,
2012-09-13,1.2722,2.0275,,1.9161,,1.4865,1.8531,0.8444,,1.0555,,,
2012-09-14,1.2842,2.0461,,1.9377,,1.5026,1.8722,0.8562,,1.0714,,,
2012-09-17,,,,,,,,,,,,,
2012-09-18,1.2868,2.0348,,1.9394,,1.4941,1.863,0.8525,,1.047,,,
2012-09-19,1.2876,2.0277,,1.9416,,1.505,1.8538,0.8551,,1.0391,,,
2012-09-20,1.2742,2.0189,,1.9124,,1.4978,1.8404,0.8294,,1.0217,,,
2012-09-21,1.2824,2.0023,,1.9136,,1.5007,1.8304,0.8293,,1.0173,,,
2012-09-24,1.2788,1.9893,,1.8963,,1.4845,1.8135,0.8222,,0.9934,,,
2012-09-25,1.2566,1.9918,,1.8904,,1.4827,1.8281,0.8196,,0.9965,,,
2012-09-26,1.2347,1.9886,,1.8898,,1.4839,1.8223,0.8156,,0.9949,,,
2012-09-27,1.258,1.991,,1.8941,,1.4853,1.8216,0.8188,,0.984,,,
2012-09-28,1.2639,1.9948,,1.9049,,1.4891,1.673,0.8262,,0.9869,,,
2012-10-01,1.2659,1.9867,,1.8442,,1.4911,1.653,0.7862,,1.0258,,,
2012-10-02,1.2735,1.9975,,1.8495,,1.4921,1.6493,0.7901,,1.014,,,
2012-10-03,1.2701,1.9912,,1.8479,,1.4961,1.6135,0.7913,,1.0065,,,
2012-10-04,1.277,1.9973,,1.8528,,1.5084,1.6295,0.812,,1.0095,,,
2012-10-05,1.2825,2.0019,,1.8553,,1.5069,1.6317,0.8099,,1.0087,,,
2012-10-08,1.2876,2.0061,,1.861,,1.5075,1.6316,0.8108,,1.0005,,,
2012-10-09,1.2968,2.0096,,1.8656,,1.5107,1.6312,0.8137,,1.0102,,,
2012-10-10,1.2926,2.0092,,1.8667,,1.5097,1.6309,0.8073,,1.0087,,,
2012-10-11,1.2987,2.015,,1.8616,,1.5089,1.6289,0.8114,,0.9938,,,
2012-10-12,1.3041,2.0204,,1.8582,,1.5117,1.6325,0.8129,,0.9755,,,
2012-10-15,1.3015,2.0217,,1.8562,,1.5158,1.6344,0.8155,,0.9718,,,
2012-10-16,1.2986,2.0329,,1.8577,,1.5119,1.6314,0.8148,,0.989,,,
2012-10-17,1.303,2.035,,1.8784,,1.5203,1.636,0.8167,,1.0188,,,
2012-10-18,1.3081,2.0437,,1.8769,,1.5209,1.6345,0.817,,1.0144,,,
2012-10-19,1.3038,2.0549,,1.8799,,1.5134,1.6364,0.8116,,0.9979,,,
2012-10-22,1.3027,2.0698,,1.8745,,1.5068,1.6286,0.8172,,0.9929,,,
2012-10-23,1.3028,2.0787,,1.8756,,1.5052,1.6295,0.8222,,0.9921,,,
2012-10-24,1.3208,2.0876,,1.881,,1.5093,1.6395,0.8437,,1.0018,,,
2012-10-25,1.3235,2.0964,,1.8912,,1.5134,1.6371,0.8398,,1.0064,,,
2012-10-26,,,,,,,,,,,,,
2012-10-29,1.3229,2.0988,,1.9036,,1.5092,1.7479,0.8623,,1.0189,,,
2012-10-30,1.3166,2.1058,,1.916,,1.5074,1.7516,0.8605,,1.0258,,,
2012-10-31,1.3231,2.0918,,1.9144,,1.5172,1.7676,0.8597,,1.0471,,,
2012-11-01,1.3338,2.0884,,1.9245,,1.5142,1.769,0.8614,,1.0571,,,
2012-11-02,1.3173,2.0685,,1.9167,,1.5105,1.7599,0.8628,,1.0609,,,
2012-11-05,1.3246,2.0675,,1.911,,1.5099,1.7539,0.8607,,1.0594,,,
2012-11-06,1.3217,2.0426,,1.9017,,1.5088,1.7531,0.8565,,1.051,,,
2012-11-07,1.3178,2.0372,,1.9115,,1.5096,1.7508,0.8581,,1.0426,,,
2012-11-08,1.3199,2.0194,,1.9072,,1.5047,1.7438,0.8532,,1.0327,,,
2012-11-09,1.3159,2.0181,,1.9077,,1.5058,1.742,0.8512,,1.0378,,,
2012-11-12,1.3129,2.0095,,1.9059,,1.5017,1.7312,0.8475,,1.0401,,,
2012-11-13,,,,,,,,,,,,,
2012-11-14,1.3174,1.9932,,1.9045,,1.499,1.7305,0.8501,,1.0463,,,
2012-11-15,,,,,,,,,,,,,
2012-11-16,1.318,2.011,,1.9016,,1.4945,1.7312,0.8492,,1.0463,,,
2012-11-19,1.3133,1.9912,,1.8981,,1.4908,1.8904,0.8507,,1.047,,,
2012-11-20,1.3156,1.9937,,1.9018,,1.4858,1.8837,0.8482,,1.0615,,,
2012-11-21,1.3117,1.9878,,1.9014,,1.4892,1.8802,0.848,,1.0631,,,
2012-11-22,1.3471,1.9782,,1.896,,1.4771,1.8721,0.8487,,0.6995,,,
2012-11-23,1.302,1.9726,,1.8979,,1.4675,1.8702,0.844,,0.9886,,,
2012-11-26,1.2978,1.9555,,1.8951,,1.4445,1.8753,0.8364,,0.9749,,,
2012-11-27,1.283,1.9456,,1.8857,,1.4176,1.8658,0.7639,,0.9672,,,
2012-11-28,1.2937,1.9489,,1.892,,1.4219,1.8822,0.7719,,0.9479,,,
2012-11-29,1.2961,1.9567,,1.8939,,1.4239,1.874,0.7723,,0.9456,,,
2012-11-30,1.2908,1.9544,,1.8951,,1.4309,1.875,0.772,,0.953,,,
2012-12-03,1.2944,1.9663,,1.8954,,1.4103,1.8792,0.781,,0.9431,,,
2012-12-04,1.2824,1.9875,,1.8989,,1.4124,1.871,0.7741,,0.9309,,,
2012-12-05,1.2818,2.0098,,1.9039,,1.4146,1.8728,0.777,,0.9324,,,
2012-12-06,1.2787,2.008,,1.9071,,1.41,1.8618,0.776,,0.9293,,,
2012-12-07,1.2751,2.0204,,1.906,,1.4142,1.8585,0.7755,,0.9316,,,
2012-12-10,1.2806,2.0344,,1.9132,,1.4271,1.8707,0.7731,,0.9397,,,
