Date,construction,consumer products,energy,finance,healthcare,industrial,plantation,property,REIT,tech,telco,transport,utilities
2012-09-07,236.08,533.75,,14509.81,,120.66,8415.63,1032.7,,14.88,,,
2012-09-10,233.77,529.97,,14482.11,,119.04,8383.36,1023.33,,14.58,,,
2012-09-11,231.29,525.13,,14367.87,,118.93,8374.53,1015.97,,14.64,,,
2012-09-12,231.97,524.09,,14438.3,,119.06,8327.38,1014.86,,14.56,,,
2012-09-13,233.17,525.27,,14598.61,,119.74,8381.0,1023.46,,14.6,,,
2012-09-14,235.37,530.08,,14763.2,,121.04,8467.14,1037.79,,14.82,,,
2012-09-17,,,,,,,,,,,,,
2012-09-18,235.85,527.16,,14769.05,,120.35,8425.63,1033.28,,14.44,,,
2012-09-19,235.99,525.31,,14787.79,,121.22,8384.3,1036.47,,14.33,,,
2012-09-20,233.54,523.03,,14590.04,,120.64,8324.31,1026.92,,14.09,,,
2012-09-21,235.04,518.71,,14602.62,,120.9,8279.28,1027.03,,14.03,,,
2012-09-24,234.38,515.36,,14474.0,,119.6,8202.69,1018.32,,13.7,,,
2012-09-25,230.32,515.99,,14425.15,,119.47,8268.78,1015.13,,13.74,,,
2012-09-26,226.3,515.16,,14422.23,,119.6,8242.75,1010.19,,13.7,,,
2012-09-27,230.57,515.78,,14459.29,,119.71,8239.69,1014.24,,13.55,,,
2012-09-28,231.66,516.76,,14539.05,,120.02,8278.08,1023.42,,13.59,,,
2012-10-01,232.89,518.01,,14593.82,,121.02,8278.62,1028.35,,13.75,,,
2012-10-02,234.31,520.84,,14641.02,,121.11,8259.87,1033.41,,13.59,,,
2012-10-03,233.67,519.2,,14632.65,,121.43,8080.88,1035.06,,13.49,,,
2012-10-04,234.95,520.78,,14664.24,,122.43,8160.9,1050.07,,13.53,,,
2012-10-05,235.97,521.97,,14680.76,,122.31,8171.97,1047.29,,13.52,,,
2012-10-08,236.96,523.08,,14722.46,,122.36,8171.33,1048.66,,13.41,,,
2012-10-09,238.65,523.99,,14754.79,,122.62,8169.42,1052.43,,13.54,,,
2012-10-10,237.89,523.87,,14774.8,,122.54,8167.76,1044.12,,13.52,,,
2012-10-11,236.85,525.38,,14736.31,,122.48,8157.68,1049.45,,13.32,,,
2012-10-12,237.83,526.8,,14705.57,,122.71,8175.8,1051.33,,13.07,,,
2012-10-15,237.36,527.13,,14682.46,,123.04,8185.64,1055.04,,13.02,,,
2012-10-16,236.84,530.04,,14713.39,,123.11,8170.54,1054.18,,13.25,,,
2012-10-17,237.64,530.6,,14857.57,,123.77,8193.54,1056.66,,13.65,,,
2012-10-18,238.59,532.86,,14859.76,,124.43,8185.96,1057.29,,13.59,,,
2012-10-19,237.8,535.79,,14884.8,,123.82,8195.61,1050.21,,13.37,,,
2012-10-22,237.6,539.67,,14833.81,,123.27,8156.58,1051.65,,13.3,,,
2012-10-23,237.63,541.99,,14841.77,,123.15,8163.54,1058.12,,13.29,,,
2012-10-24,239.19,544.32,,14891.35,,123.44,8213.75,1085.78,,13.42,,,
2012-10-25,239.68,546.61,,14966.77,,123.78,8201.71,1083.07,,13.49,,,
2012-10-26,,,,,,,,,,,,,
2012-10-29,241.43,547.23,,15062.95,,123.53,8177.69,1081.54,,13.32,,,
2012-10-30,240.27,549.07,,15114.05,,123.39,8196.57,1079.27,,13.41,,,
2012-10-31,241.7,545.78,,15100.32,,123.67,8188.96,1078.69,,13.7,,,
2012-11-01,243.66,544.9,,15177.75,,123.42,8195.34,1080.94,,13.83,,,
2012-11-02,240.64,539.72,,15122.98,,123.12,8153.11,1082.84,,13.88,,,
2012-11-05,241.99,539.46,,15074.0,,123.07,8127.79,1080.26,,13.86,,,
2012-11-06,241.46,532.97,,15008.79,,122.98,8124.43,1075.03,,13.75,,,
2012-11-07,240.74,531.55,,15084.32,,123.07,8113.66,1076.98,,13.64,,,
2012-11-08,241.13,526.91,,15062.54,,122.67,8080.9,1070.8,,13.51,,,
2012-11-09,240.4,526.56,,15068.37,,122.76,8072.86,1068.38,,13.57,,,
2012-11-12,239.86,524.31,,15048.76,,122.44,8022.8,1063.69,,13.6,,,
2012-11-13,,,,,,,,,,,,,
2012-11-14,240.68,520.08,,15048.79,,122.23,8019.15,1066.94,,13.68,,,
2012-11-15,,,,,,,,,,,,,
2012-11-16,240.78,524.71,,15016.91,,121.86,8022.5,1065.84,,13.68,,,
2012-11-19,239.93,519.55,,14997.32,,121.56,7968.8,1067.94,,13.69,,,
2012-11-20,240.34,520.21,,15017.38,,121.17,7940.63,1064.76,,13.88,,,
2012-11-21,239.63,518.67,,15015.68,,121.44,7925.85,1064.53,,13.9,,,
2012-11-22,239.46,516.19,,14973.15,,120.45,7891.89,1065.43,,13.15,,,
2012-11-23,237.85,514.72,,14964.67,,119.67,7883.87,1059.56,,12.93,,,
2012-11-26,237.07,510.26,,14949.76,,117.79,7905.49,1050.0,,12.75,,,
2012-11-27,234.37,507.92,,14886.94,,115.62,7867.22,1036.8,,12.65,,,
2012-11-28,236.34,508.78,,14932.11,,115.97,7936.75,1041.75,,12.4,,,
2012-11-29,236.8,510.79,,14947.68,,116.14,7902.0,1042.32,,12.37,,,
2012-11-30,236.04,510.47,,14955.06,,116.8,7907.44,1042.12,,12.47,,,
2012-12-03,236.71,513.58,,14962.18,,115.12,7925.29,1054.35,,12.34,,,
2012-12-04,234.52,519.52,,14985.38,,115.29,7890.62,1044.98,,12.18,,,
2012-12-05,234.41,525.34,,15031.56,,115.47,7898.48,1048.91,,12.2,,,
2012-12-06,233.83,524.87,,15048.52,,115.09,7851.99,1049.7,,12.16,,,
2012-12-07,233.41,528.12,,15040.19,,115.43,7838.29,1048.93,,12.19,,,
2012-12-10,234.42,531.78,,15100.18,,116.49,7889.64,1045.54,,12.29,,,
